"買賣合約
的日期
(日-月-年)",大廈名稱,樓層,單位,成交金額
12-03-2018,翠鳴臺,30,F,"$3,730,000"
08-03-2018,翠鳴臺,30,G,"$3,357,000"
09-03-2018,翠鳴臺,2,F,"$3,083,000"
12-03-2018,翠鳴臺,2,G,"$3,071,000"
09-03-2018,翠鳴臺,3,F,"$3,162,000"
12-03-2018,翠鳴臺,3,G,"$3,127,000"
09-03-2018,翠鳴臺,4,F,"$3,172,000"
13-03-2018,翠鳴臺,4,G,"$3,137,000"
13-03-2018,翠鳴臺,5,E,"$3,231,000"
12-03-2018,翠鳴臺,5,F,"$3,181,000"
13-03-2018,翠鳴臺,6,F,"$3,296,000"
13-03-2018,翠鳴臺,6,H,"$3,261,000"
09-03-2018,翠鳴臺,7,E,"$3,357,000"
12-03-2018,翠鳴臺,7,H,"$3,271,000"
09-03-2018,翠鳴臺,8,C,"$3,296,000"
09-03-2018,翠鳴臺,8,H,"$3,291,000"
13-03-2018,翠鳴臺,9,B,"$3,162,000"
09-03-2018,翠鳴臺,9,F,"$3,538,000"
12-03-2018,翠鳴臺,9,H,"$3,291,000"
12-03-2018,翠鳴臺,10,B,"$3,172,000"
09-03-2018,翠鳴臺,10,E,"$3,604,000"
09-03-2018,翠鳴臺,10,F,"$3,549,000"
12-03-2018,翠鳴臺,10,H,"$3,301,000"
12-03-2018,翠鳴臺,10,K,"$1,996,000"
06-03-2018,翠鳴臺,11,B,"$3,181,000"
12-03-2018,翠鳴臺,11,H,"$3,311,000"
09-03-2018,翠鳴臺,12,B,"$3,191,000"
12-03-2018,翠鳴臺,12,E,"$3,626,000"
09-03-2018,翠鳴臺,12,H,"$3,321,000"
09-03-2018,翠鳴臺,13,B,"$3,200,000"
08-03-2018,翠鳴臺,13,E,"$3,637,000"
09-03-2018,翠鳴臺,13,H,"$3,331,000"
12-03-2018,翠鳴臺,14,B,"$3,210,000"
12-03-2018,翠鳴臺,14,E,"$3,648,000"
09-03-2018,翠鳴臺,14,H,"$3,341,000"
09-03-2018,翠鳴臺,15,B,"$3,220,000"
09-03-2018,翠鳴臺,15,E,"$3,659,000"
12-03-2018,翠鳴臺,15,H,"$3,351,000"
12-03-2018,翠鳴臺,16,B,"$3,229,000"
09-03-2018,翠鳴臺,16,D,"$3,609,000"
12-03-2018,翠鳴臺,16,E,"$3,670,000"
12-03-2018,翠鳴臺,16,H,"$3,361,000"
12-03-2018,翠鳴臺,17,B,"$3,239,000"
12-03-2018,翠鳴臺,17,D,"$3,620,000"
12-03-2018,翠鳴臺,17,E,"$3,681,000"
12-03-2018,翠鳴臺,17,H,"$3,371,000"
13-03-2018,翠鳴臺,18,D,"$3,642,000"
12-03-2018,翠鳴臺,18,E,"$3,703,000"
09-03-2018,翠鳴臺,19,B,"$3,259,000"
12-03-2018,翠鳴臺,19,D,"$3,642,000"
12-03-2018,翠鳴臺,19,E,"$3,703,000"
12-03-2018,翠鳴臺,19,H,"$3,391,000"
09-03-2018,翠鳴臺,20,D,"$3,653,000"
09-03-2018,翠鳴臺,20,E,"$3,714,000"
09-03-2018,翠鳴臺,21,D,"$3,664,000"
12-03-2018,翠鳴臺,21,E,"$3,725,000"
12-03-2018,翠鳴臺,22,D,"$3,675,000"
13-03-2018,翠鳴臺,22,E,"$3,736,000"
13-03-2018,翠鳴臺,22,J,"$2,129,000"
12-03-2018,翠鳴臺,23,D,"$3,686,000"
09-03-2018,翠鳴臺,23,E,"$3,747,000"
13-03-2018,翠鳴臺,24,D,"$3,697,000"
09-03-2018,翠鳴臺,24,E,"$3,759,000"
13-03-2018,翠鳴臺,24,H,"$3,442,000"
12-03-2018,翠鳴臺,25,D,"$3,708,000"
06-03-2018,翠鳴臺,25,E,"$3,770,000"
09-03-2018,翠鳴臺,26,D,"$3,719,000"
09-03-2018,翠鳴臺,26,E,"$3,781,000"
12-03-2018,翠鳴臺,27,H,"$3,473,000"
09-03-2018,翠鳴臺,28,H,"$3,494,000"
08-03-2018,翠鳴臺,29,C,"$3,722,000"
12-03-2018,翠鳴臺,29,D,"$3,753,000"
09-03-2018,翠鳴臺,29,H,"$3,494,000"
12-03-2018,翠鳴臺,29,K,"$2,113,000"
12-03-2018,翠鳴臺,30,H,"$3,470,000"
14-03-2018,翠鳴臺,2,D,"$3,080,000"
13-03-2018,翠鳴臺,2,E,"$3,131,000"
14-03-2018,翠鳴臺,2,H,"$3,174,000"
14-03-2018,翠鳴臺,3,B,"$3,106,000"
12-03-2018,翠鳴臺,3,D,"$3,159,000"
12-03-2018,翠鳴臺,3,E,"$3,211,000"
14-03-2018,翠鳴臺,3,H,"$3,232,000"
13-03-2018,翠鳴臺,4,B,"$3,115,000"
13-03-2018,翠鳴臺,4,C,"$3,142,000"
12-03-2018,翠鳴臺,4,D,"$3,168,000"
09-03-2018,翠鳴臺,4,E,"$3,221,000"
12-03-2018,翠鳴臺,4,H,"$3,242,000"
12-03-2018,翠鳴臺,5,B,"$3,124,000"
13-03-2018,翠鳴臺,5,C,"$3,152,000"
14-03-2018,翠鳴臺,5,H,"$3,251,000"
14-03-2018,翠鳴臺,6,B,"$3,134,000"
14-03-2018,翠鳴臺,6,C,"$3,265,000"
14-03-2018,翠鳴臺,6,D,"$3,292,000"
13-03-2018,翠鳴臺,6,E,"$3,347,000"
13-03-2018,翠鳴臺,7,B,"$3,143,000"
14-03-2018,翠鳴臺,7,C,"$3,275,000"
13-03-2018,翠鳴臺,7,D,"$3,302,000"
13-03-2018,翠鳴臺,9,C,"$3,505,000"
09-03-2018,翠鳴臺,9,D,"$3,534,000"
12-03-2018,翠鳴臺,9,E,"$3,593,000"
14-03-2018,翠鳴臺,10,C,"$3,516,000"
13-03-2018,翠鳴臺,10,D,"$3,545,000"
12-03-2018,翠鳴臺,11,C,"$3,526,000"
12-03-2018,翠鳴臺,11,D,"$3,555,000"
12-03-2018,翠鳴臺,11,E,"$3,615,000"
13-03-2018,翠鳴臺,12,C,"$3,537,000"
14-03-2018,翠鳴臺,12,D,"$3,566,000"
09-03-2018,翠鳴臺,13,C,"$3,548,000"
09-03-2018,翠鳴臺,13,D,"$3,577,000"
13-03-2018,翠鳴臺,14,C,"$3,558,000"
14-03-2018,翠鳴臺,14,D,"$3,588,000"
13-03-2018,翠鳴臺,15,C,"$3,569,000"
12-03-2018,翠鳴臺,15,D,"$3,598,000"
09-03-2018,翠鳴臺,16,C,"$3,580,000"
14-03-2018,翠鳴臺,18,C,"$3,612,000"
14-03-2018,翠鳴臺,19,C,"$3,612,000"
13-03-2018,翠鳴臺,19,J,"$2,110,000"
13-03-2018,翠鳴臺,20,C,"$3,623,000"
14-03-2018,翠鳴臺,21,C,"$3,634,000"
13-03-2018,翠鳴臺,22,C,"$3,645,000"
12-03-2018,翠鳴臺,23,C,"$3,656,000"
09-03-2018,翠鳴臺,24,C,"$3,667,000"
14-03-2018,翠鳴臺,25,C,"$3,678,000"
14-03-2018,翠鳴臺,26,C,"$3,689,000"
13-03-2018,翠鳴臺,26,H,"$3,463,000"
09-03-2018,翠鳴臺,27,C,"$3,700,000"
14-03-2018,翠鳴臺,28,C,"$3,722,000"
13-03-2018,翠鳴臺,30,C,"$3,696,000"
12-03-2018,翠鳴臺,30,D,"$3,726,000"
12-03-2018,翠鳴臺,30,E,"$3,788,000"
13-03-2018,翠鳴臺,2,C,"$3,055,000"
13-03-2018,翠鳴臺,3,C,"$3,133,000"
13-03-2018,翠鳴臺,9,J,"$2,047,000"
15-03-2018,翠鳴臺,9,K,"$1,990,000"
15-03-2018,翠鳴臺,11,J,"$2,060,000"
14-03-2018,翠鳴臺,12,J,"$2,066,000"
12-03-2018,翠鳴臺,14,J,"$2,078,000"
13-03-2018,翠鳴臺,15,J,"$2,085,000"
13-03-2018,翠鳴臺,17,C,"$3,590,000"
15-03-2018,翠鳴臺,17,J,"$2,097,000"
13-03-2018,翠鳴臺,18,J,"$2,110,000"
13-03-2018,翠鳴臺,20,J,"$2,116,000"
12-03-2018,翠鳴臺,21,J,"$2,122,000"
12-03-2018,翠鳴臺,24,J,"$2,142,000"
12-03-2018,翠鳴臺,25,J,"$2,148,000"
12-03-2018,翠鳴臺,27,K,"$2,101,000"
12-03-2018,翠鳴臺,29,J,"$2,174,000"
13-03-2018,翠鳴臺,30,J,"$2,159,000"
16-03-2018,翠鳴臺,3,J,"$2,011,000"
14-03-2018,翠鳴臺,4,J,"$2,017,000"
16-03-2018,翠鳴臺,5,J,"$2,023,000"
15-03-2018,翠鳴臺,6,J,"$2,029,000"
15-03-2018,翠鳴臺,7,J,"$2,035,000"
13-03-2018,翠鳴臺,13,J,"$2,072,000"
14-03-2018,翠鳴臺,16,K,"$2,033,000"
15-03-2018,翠鳴臺,17,K,"$2,039,000"
14-03-2018,翠鳴臺,18,K,"$2,051,000"
16-03-2018,翠鳴臺,19,K,"$2,051,000"
16-03-2018,翠鳴臺,20,K,"$2,057,000"
14-03-2018,翠鳴臺,21,K,"$2,063,000"
15-03-2018,翠鳴臺,22,K,"$2,070,000"
14-03-2018,翠鳴臺,24,K,"$2,082,000"
15-03-2018,翠鳴臺,25,K,"$2,088,000"
14-03-2018,翠鳴臺,26,K,"$2,095,000"
15-03-2018,翠鳴臺,30,K,"$2,099,000"
26-03-2018,翠鳴臺,2,J,"$1,975,000"
23-03-2018,翠鳴臺,2,K,"$1,920,000"
26-03-2018,翠鳴臺,3,K,"$1,955,000"
23-03-2018,翠鳴臺,4,K,"$1,961,000"
22-03-2018,翠鳴臺,5,K,"$1,967,000"
23-03-2018,翠鳴臺,6,K,"$1,973,000"
23-03-2018,翠鳴臺,7,K,"$1,979,000"
23-03-2018,翠鳴臺,8,K,"$1,990,000"
23-03-2018,翠鳴臺,11,K,"$2,002,000"
23-03-2018,翠鳴臺,12,K,"$2,008,000"
26-03-2018,翠鳴臺,13,K,"$2,015,000"
23-03-2018,翠鳴臺,14,K,"$2,021,000"
22-03-2018,翠鳴臺,15,K,"$2,027,000"
,,,,
